Year,Payment Type,Payment Type Subcategory,Amount
2017-18,"CMPA, Benefits, HST and Other",Electronic Medical Record,"7,602,451.00"
2017-18,"CMPA, Benefits, HST and Other",Benefits,"4,924,667.00"
2017-18,Fee for Service and Reciprocal,Reciprocal Billing,"9,104,894.00"
2017-18,"CMPA, Benefits, HST and Other",Return of Service - Rural Retention,"80,000.00"
2017-18,"CMPA, Benefits, HST and Other",Physician Hospitalists,"1,818,050.00"
2017-18,Alternate Funding,Alternate Funding,"275,194,078.00"
2017-18,"CMPA, Benefits, HST and Other",Collaborative Practice Incentive Program,"1,000,000.00"
2017-18,"CMPA, Benefits, HST and Other",Collaborative Emergency Centres,"10,624,560.00"
2017-18,"CMPA, Benefits, HST and Other",Consultant's Fund,0.00
2017-18,"CMPA, Benefits, HST and Other",Family Med Residency Expansion,"1,498,296.00"
2017-18,"CMPA, Benefits, HST and Other",Practice Innovation Fund,0.00
2017-18,"CMPA, Benefits, HST and Other",Rural Specialist Incentive Program,"2,373,333.00"
2017-18,"CMPA, Benefits, HST and Other",Practice Ready Assessment,"50,000.00"
2017-18,"CMPA, Benefits, HST and Other",Physician Training Seats,"80,704.00"
2017-18,"CMPA, Benefits, HST and Other",Appeals Costs,"18,302.00"
2018-19,Diag Image/Path Rad/Int Med,Diag Image/Path Rad/Int Med,"67,841,040.00"
2018-19,"CMPA, Benefits, HST and Other",Hospital Inpatient Care/Orphan Patients,"88,160.00"
2018-19,"CMPA, Benefits, HST and Other",Continuing Medical Eduction,"3,868,421.00"
2018-19,Alternate Funding,ER (Rural Stab and Emerg Rooms),"57,217,267.00"
2018-19,Fee for Service and Reciprocal,Fee for Service,"293,190,244.00"
2018-19,"CMPA, Benefits, HST and Other",Comprehensive Care Incentive Program,"-582,482.00"
2018-19,"CMPA, Benefits, HST and Other",Targeted Project Funding,"1,196,092.00"
2018-19,"CMPA, Benefits, HST and Other",Resident Tuition,"928,312.00"
2018-19,"CMPA, Benefits, HST and Other",Clinical Assessment for Practice Program,"2,197,387.00"
2018-19,"CMPA, Benefits, HST and Other",Debt Assistance and Other Initiatives,"164,351.00"
2018-19,"CMPA, Benefits, HST and Other",GP Recruitment,0.00
2018-19,"CMPA, Benefits, HST and Other",Training,"31,705,776.00"
2018-19,"CMPA, Benefits, HST and Other",Physician On-Call,"12,505,943.00"
2018-19,"CMPA, Benefits, HST and Other",CMPA,"7,440,065.00"
2018-19,"CMPA, Benefits, HST and Other",Tuition Relief,"1,535,160.00"
2018-19,"CMPA, Benefits, HST and Other",Electronic Medical Record,"7,330,396.00"
2018-19,"CMPA, Benefits, HST and Other",Benefits,"5,548,798.00"
2018-19,Fee for Service and Reciprocal,Reciprocal Billing,"9,323,734.00"
2018-19,"CMPA, Benefits, HST and Other",Return of Service - Rural Retention,"464,000.00"
2018-19,"CMPA, Benefits, HST and Other",Physician Hospitalists,"14,569,942.00"
2018-19,Alternate Funding,Alternate Funding,"298,140,493.00"
2018-19,"CMPA, Benefits, HST and Other",Collaborative Practice Incentive Program,"1,115,000.00"
2018-19,"CMPA, Benefits, HST and Other",Collaborative Emergency Centres,"11,031,531.00"
2018-19,"CMPA, Benefits, HST and Other",Consultant's Fund,"20,130.00"
2018-19,"CMPA, Benefits, HST and Other",Family Med Residency Expansion,"1,539,678.00"
2018-19,"CMPA, Benefits, HST and Other",Practice Innovation Fund,0.00
2018-19,"CMPA, Benefits, HST and Other",Rural Specialist Incentive Program,"2,366,000.00"
2018-19,"CMPA, Benefits, HST and Other",Practice Ready Assessment,"309,311.00"
2018-19,"CMPA, Benefits, HST and Other",Physician Training Seats,"83,580.00"
2018-19,"CMPA, Benefits, HST and Other",Appeals Costs,"105,534.00"
2018-19,"CMPA, Benefits, HST and Other",New Family Medicine Residency Spaces (Seats),"360,470.00"
2018-19,"CMPA, Benefits, HST and Other",New Specialty Residency Spaces (Seats),"46,009.00"
2018-19,"CMPA, Benefits, HST and Other",Technology Incentive,"1,057,295.00"
2018-19,"CMPA, Benefits, HST and Other",Longitudinal Integrated Clerkship,"19,500.00"
